timestamp,position,velocity,acceleration,angular_rate,motor_controls
2024-11-26T17:31:53.276035,"[0.03393787890672684, 0.0029056090861558914, 1.272193193435669]","[0.036733485758304596, 0.007278892677277327, 0.3572370111942291]","[-0.003658894682303071, 0.02310880459845066, 0.07010892033576965]","[0.00054127607, -0.0027897763, -5.3489275e-05]","[0.001999999862164259, 0.0, 0.0020000000949949026, 0.0]"
2024-11-26T17:31:53.375971,"[0.03528507053852081, 0.0035348287783563137, 1.2853525876998901]","[0.037780340760946274, 0.007218482438474894, 0.3583345413208008]","[0.04003572091460228, 0.0013496442697942257, 0.057291485369205475]","[-0.0005179914, 0.0012079861, 0.0010118324]","[0.0019999993965029716, 0.0, 0.0010177434887737036, 0.000982256606221199]"
2024-11-26T17:31:53.475790,"[0.03430502116680145, 0.0033246991224586964, 1.2738364934921265]","[0.03932686522603035, 0.006098996847867966, 0.3538378179073334]","[0.045341648161411285, 0.030465146526694298, 0.08959757536649704]","[0.0010790972, -0.0022546938, -0.00085426355]","[0.001999999862164259, 0.0, 0.0019999996293336153, 0.0]"
2024-11-26T17:31:53.575883,"[0.034415677189826965, 0.003198579652234912, 1.271436333656311]","[0.040897488594055176, 0.006380649749189615, 0.35239192843437195]","[0.037651531398296356, -0.010594649240374565, 0.04650779813528061]","[-0.0010515818, 0.0017402048, -0.0005864549]","[0.001999999862164259, 0.0, 0.0017231274396181107, 0.0002768724225461483]"
2024-11-26T17:31:53.676023,"[0.03559451922774315, 0.003178039798513055, 1.2772448062896729]","[0.04218020290136337, 0.005710226483643055, 0.3531515896320343]","[0.024594848975539207, -0.025926293805241585, 0.05378049239516258]","[0.002142812, 0.0020064034, -5.4038865e-05]","[0.001999999862164259, 0.0, 0.0017955696675926447, 0.0002044299617409706]"
2024-11-26T17:31:53.775912,"[0.036284320056438446, 0.0027914263773709536, 1.2801927328109741]","[0.04427904635667801, 0.005596843548119068, 0.3531038165092468]","[0.0017264188500121236, 0.01321674045175314, 0.06083475425839424]","[0.0013527509, 0.0014768837, 0.0020780335]","[0.001999999862164259, 0.0, 0.001312765059992671, 0.0006872350350022316]"
2024-11-26T17:31:53.875887,"[0.0334368571639061, 0.0015715125482529402, 1.2607507705688477]","[0.043517567217350006, 0.0047884914092719555, 0.34737423062324524]","[0.004410312976688147, 0.03107266314327717, 0.05124254152178764]","[1.9968074e-05, 0.0020091108, -5.3745513e-05]","[0.002214856445789337, 0.00028074582223780453, 0.0006587922689504921, 0.0008456050418317318]"
2024-11-26T17:31:53.976056,"[0.030985616147518158, 0.00021204122458584607, 1.2459161281585693]","[0.04256024211645126, 0.004697450902312994, 0.3434690833091736]","[0.019857089966535568, 0.03913497552275658, 0.021159563213586807]","[-0.00024836225, -0.00065442664, 0.0023426563]","[0.0020000007934868336, 0.0, 0.0013075724709779024, 0.0006924280896782875]"
2024-11-26T17:31:54.076017,"[0.0316258929669857, -0.000509534147568047, 1.2540287971496582]","[0.0436556413769722, 0.005550256930291653, 0.343904584646225]","[0.05112292617559433, 0.009734992869198322, 0.04714192450046539]","[0.0010819341, 0.0009429087, -0.0005842687]","[0.0021270466968417168, 0.00016600676462985575, 0.0015730193117633462, 0.00013392753317020833]"
2024-11-26T17:31:54.176020,"[0.03064930997788906, -0.0008725298685021698, 1.2448794841766357]","[0.04417585954070091, 0.005220075137913227, 0.3401006758213043]","[0.03729230910539627, 0.000589523115195334, 0.05042823776602745]","[0.0016215957, 0.002274709, 0.00021415722]","[0.0019999993965029716, 0.0, 0.00039380695670843124, 0.001606193371117115]"
2024-11-26T17:31:54.275944,"[0.03095833770930767, -0.0009836220415309072, 1.245422124862671]","[0.044489651918411255, 0.005416844971477985, 0.3397243916988373]","[0.0337442047894001, 0.005989127792418003, 0.08875375241041183]","[-0.0013083116, -0.0011871973, -0.0005855652]","[0.0244581401348114, 0.0, 0.15990117192268372, 0.17406827211380005]"
2024-11-26T17:31:54.375880,"[0.0331064835190773, -0.0007780463784001768, 1.259734869003296]","[0.046450406312942505, 0.006566616706550121, 0.34184032678604126]","[0.0329635925590992, -0.030703412368893623, 0.048027995973825455]","[-0.00104349, -0.00012191688, -0.00058531377]","[0.02888566255569458, 0.0, 0.19209051132202148, 0.20963728427886963]"
2024-11-26T17:31:54.476081,"[0.035984307527542114, -0.00048167022760026157, 1.2769050598144531]","[0.04997177794575691, 0.007290784735232592, 0.34515851736068726]","[0.028827259317040443, 0.011663566343486309, 0.08521661907434464]","[-0.00370774, -0.0017196136, -0.0008507236]","[0.032937049865722656, 0.0, 0.23058000206947327, 0.2484126091003418]"
2024-11-26T17:31:54.575971,"[0.03476623818278313, -0.0003948872908949852, 1.2594351768493652]","[0.051004089415073395, 0.008074643090367317, 0.3406006395816803]","[0.04460195079445839, 0.009112972766160965, 0.05832229554653168]","[0.00029395812, -0.0022519585, -5.3840326e-05]","[0.03883203864097595, 0.0, 0.2646350860595703, 0.2901965379714966]"
2024-11-26T17:31:54.675828,"[0.03603130578994751, 6.989317625993863e-06, 1.2616716623306274]","[0.05274071916937828, 0.007791017182171345, 0.3390507698059082]","[0.02277868241071701, 0.012825803831219673, 0.0286081675440073]","[0.002157272, 0.0038732926, -0.0013853626]","[0.04223281145095825, 0.0, 0.30848613381385803, 0.34149324893951416]"
2024-11-26T17:31:54.775786,"[0.03864022344350815, 0.0004004688817076385, 1.274613380432129]","[0.05416489019989967, 0.0068383365869522095, 0.3404178321361542]","[0.0052758171223104, 4.921014988212846e-05, 0.06110081076622009]","[-0.00023928216, 0.003340628, 0.001012734]","[0.04803895950317383, 0.0, 0.3535720109939575, 0.3890766501426697]"
2024-11-26T17:31:54.875846,"[0.041403189301490784, 0.0007208982133306563, 1.2864564657211304]","[0.05520259588956833, 0.0057538775727152824, 0.3419395685195923]","[-0.02030954137444496, 0.009664524346590042, 0.04341651871800423]","[-0.0013050424, -0.0014532948, 0.00021306399]","[0.05676266551017761, 0.0, 0.4059050977230072, 0.44320517778396606]"
2024-11-26T17:31:54.975719,"[0.041986577212810516, -4.663123399950564e-05, 1.2776144742965698]","[0.05678214505314827, 0.00448107672855258, 0.3386858403682709]","[0.05228649452328682, 0.018651090562343597, 0.06141054257750511]","[-0.00049915025, 0.0012143156, -0.0019186215]","[0.06277814507484436, 0.0, 0.454689621925354, 0.49915578961372375]"
2024-11-26T17:31:55.075919,"[0.03996862471103668, -0.0025427271611988544, 1.2487841844558716]","[0.057372719049453735, 0.0037796050310134888, 0.33101916313171387]","[0.014492018148303032, -0.011772952042520046, 0.055780380964279175]","[-0.0010320087, 0.0017471139, 0.0007451478]","[0.06841206550598145, 0.0, 0.5128476023674011, 0.5633973479270935]"
2024-11-26T17:31:55.175930,"[0.04198702052235603, -0.004058411344885826, 1.2513097524642944]","[0.05903906747698784, 0.002816379303112626, 0.33109980821609497]","[0.03363056480884552, 0.0008086278103291988, 0.06993824988603592]","[0.0010976641, 0.0017479514, 0.0015470638]","[0.07633805274963379, 0.0, 0.5716060400009155, 0.6283737421035767]"
2024-11-26T17:31:55.275949,"[0.04566130042076111, -0.005056032910943031, 1.2665190696716309]","[0.06081389635801315, 0.002199397422373295, 0.33197134733200073]","[-0.008702527731657028, 0.010539352893829346, 0.04525237902998924]","[-0.0018330967, 0.0017484265, -0.0029785577]","[0.08230647444725037, 0.0, 0.6334195137023926, 0.6947982311248779]"
2024-11-26T17:31:55.376009,"[0.045117974281311035, -0.0070073772221803665, 1.2533671855926514]","[0.06179334223270416, 0.0009164705988951027, 0.328236848115921]","[0.055345192551612854, 0.02967611700296402, 0.07888311892747879]","[0.0011061718, -0.0006466075, 0.0034133014]","[0.0908721387386322, 0.0, 0.6989669799804688, 0.7671695351600647]"
2024-11-26T17:31:55.475923,"[0.04213686287403107, -0.009305959567427635, 1.2266497611999512]","[0.061590299010276794, 6.211774598341435e-05, 0.3217257559299469]","[0.046861156821250916, -0.0027740506920963526, 0.04423061013221741]","[3.953148e-05, 0.0012186791, -0.00084390247]","[0.09882499277591705, 0.0, 0.767920970916748, 0.8454930186271667]"
2024-11-26T17:31:55.576166,"[0.04496914893388748, -0.010337134823203087, 1.2397092580795288]","[0.0636393278837204, -0.0010126992128789425, 0.3235064148902893]","[0.04154959321022034, -0.007670208811759949, 0.03587925434112549]","[0.0011041331, 0.0006860566, -0.0011100955]","[0.10807764530181885, 0.0, 0.8357220888137817, 0.9178000688552856]"
2024-11-26T17:31:55.675888,"[0.04964842274785042, -0.01138320006430149, 1.2614349126815796]","[0.06657860428094864, -0.001953607890754938, 0.3270004689693451]","[0.04534367099404335, -0.03929668664932251, 0.08968151360750198]","[0.0019024509, 0.0036151076, -0.0016440655]","[0.11070507764816284, 0.0, 0.9128602743148804, 1.0]"
2024-11-26T17:31:55.775851,"[0.050190459936857224, -0.011727175675332546, 1.2590577602386475]","[0.06708552688360214, -0.0032881740480661392, 0.326997846364975]","[0.03523830696940422, -0.027532510459423065, 0.08821506798267365]","[0.0013804879, -0.0009128398, 0.0026175592]","[0.08251938223838806, 0.0, 0.9496556520462036, 1.0]"
2024-11-26T17:31:55.875871,"[0.05157987028360367, -0.012044159695506096, 1.2618541717529297]","[0.06789421290159225, -0.0032346497755497694, 0.328075110912323]","[0.03904552757740021, 0.01739942654967308, 0.10133781284093857]","[0.0021795635, 0.0014837539, 0.0020840364]","[0.07123227417469025, 0.0, 0.95807945728302, 1.0]"
2024-11-26T17:31:55.976041,"[0.05223044008016586, -0.01232904102653265, 1.2599073648452759]","[0.06883523613214493, -0.0024981542956084013, 0.32741597294807434]","[0.04248616471886635, 0.019790131598711014, 0.05339903384447098]","[-0.0026150947, 0.0017507309, 0.0034179671]","[0.1060391217470169, 0.0, 0.9262367486953735, 1.0]"
2024-11-26T17:31:56.075895,"[0.05226700380444527, -0.012658845633268356, 1.2538514137268066]","[0.06849152594804764, -0.002274909755215049, 0.3261367380619049]","[0.020588673651218414, 0.014066152274608612, 0.09912452846765518]","[-0.00048564377, -0.00037924835, -0.0027053282]","[0.18626713752746582, 0.08211058378219604, 0.9309861660003662, 1.0]"
